Factor,num Df,den Df,MSE,F,ges,Pr(>F)
age,1,59,0.5727804681194512,1.8133314457527923,0.02981799225010942,0.1832595122714033
timepoint,4,59,0.5727804681194512,2.256237120439841,0.1326711549686711,0.07376310706642289
age:timepoint,4,59,0.5727804681194512,0.3119230853030644,0.020709379774182277,0.868896058351835
