contrast,timepoint,estimate,SE,df,t.ratio,p.value
Adult - Aged,T0,-0.013888888888889228,0.14479441161980527,59,-0.09592144291699638,0.9239080344040937
Adult - Aged,T14,-0.12857142857142848,0.1321246476072828,59,-0.9731070689670588,0.3344729241387042
Adult - Aged,T2,-0.08571428571428552,0.156987474234012,59,-0.5459944249215468,0.5871284460662118
Adult - Aged,T28,1.5265566588595902e-16,0.15284459370005293,59,9.987639221674752e-16,0.9999999999999992
Adult - Aged,T7,-0.1750000000000009,0.15284459370005285,59,-1.1449538106884338,0.25685170729034085
