contrast,timepoint,estimate,SE,df,t.ratio,p.value
Adult - Aged,T0,0.04166666666666641,0.408730925999212,59,0.10194155620792623,0.9191487378805188
Adult - Aged,T14,0.4357142857142855,0.37296625580857407,59,1.168240501462194,0.24740880511077692
Adult - Aged,T2,0.25714285714285645,0.4431499461624833,59,0.5802615105104258,0.563947941775536
Adult - Aged,T28,-1.6653345369377348e-16,0.43145527246612936,59,-3.8598080570876994e-16,0.9999999999999997
Adult - Aged,T7,0.525000000000001,0.4314552724661291,59,1.2168121089335293,0.22852090598884633
